year,hires,terminations,net_change,net_change_percent
2000,211,26,185,87.68
2001,1082,197,885,81.79
2002,1012,162,850,83.99
2003,1088,198,890,81.80
2004,1087,204,883,81.23
2005,1038,191,847,81.60
2006,1069,184,885,82.79
2007,1058,155,903,85.35
2008,1061,146,915,86.24
2009,1094,154,940,85.92
2010,1050,139,911,86.76
2011,1057,120,937,88.65
2012,1059,119,940,88.76
2013,1042,99,943,90.50
2014,1014,92,922,90.93
2015,1011,92,919,90.90
2016,1076,76,1000,92.94
2017,1043,63,980,93.96
2018,1090,56,1034,94.86
2019,1038,55,983,94.70
2020,967,40,927,95.86
